trial,L_HIGH,PORT_SL,PORT_TSL,EARLY_KILL_X,EARLY_KILL_Y,EARLY_FILL_Y,EARLY_FILL_X,Sharpe,CAGR%,MaxDD%,Calmar,WF_CV
65,0.936707,-1.132568,1.189196,8,-1108,1.047351,4,1.947900,457.770000,-66.165000,6.919000,0.950000
66,1.089205,-0.930999,1.013171,7,-1118,1.338951,4,1.947900,548.650000,-71.930000,7.628000,0.950000
67,1.001671,-0.961498,1.009573,5,-707,0.814236,4,1.947900,497.270000,-68.742000,7.234000,0.950000
68,0.985581,-1.022963,1.074111,5,-926,0.766362,5,1.947900,487.570000,-68.121000,7.158000,0.950000
69,0.963408,-0.852210,0.965765,5,-780,1.047387,5,1.947900,474.110000,-67.246000,7.050000,0.950000
70,1.040400,-1.033941,1.085638,5,-1229,1.028922,5,1.947900,520.330000,-70.191000,7.413000,0.950000
71,1.025202,-0.948615,0.996046,7,-1308,1.323477,5,1.947900,511.340000,-69.630000,7.344000,0.950000
72,1.004055,-1.079062,1.133015,8,-994,0.685759,3,1.947900,498.710000,-68.833000,7.245000,0.950000
73,1.068399,-0.858004,0.924842,5,-738,0.842604,6,1.947900,536.690000,-71.201000,7.538000,0.950000
74,0.902937,-1.087171,1.141529,5,-722,1.069866,3,1.947900,436.960000,-64.750000,6.748000,0.950000
75,0.972984,-1.126153,1.182461,8,-848,1.138631,6,1.947900,479.940000,-67.627000,7.097000,0.950000
76,0.977568,-1.031844,1.083436,5,-1019,0.723691,4,1.947900,482.720000,-67.807000,7.119000,0.950000
77,1.067261,-1.135273,1.192036,8,-1391,0.706144,5,1.947900,536.030000,-71.160000,7.533000,0.950000
78,0.978515,-0.865275,1.065833,5,-974,0.713333,4,1.947900,483.290000,-67.844000,7.124000,0.950000
79,1.081421,-0.854761,0.910657,5,-991,1.058465,5,1.947900,544.200000,-71.659000,7.594000,0.950000
80,0.916823,-0.913869,1.092046,6,-1118,1.124801,6,1.947900,445.530000,-65.338000,6.819000,0.950000
