trial,L_HIGH,PORT_SL,PORT_TSL,EARLY_KILL_X,EARLY_KILL_Y,EARLY_FILL_Y,EARLY_FILL_X,Sharpe,CAGR%,MaxDD%,Calmar,WF_CV
19,2.132623,-0.061636,0.771157,40,0.002958,0.110357,480,2.358900,783.950000,-42.235000,18.561000,1.070900
20,2.194130,-0.059833,1.018213,36,0.002936,0.073222,623,3.156900,1478.200000,-31.634000,46.728000,0.764700
21,2.209096,-0.058900,0.770835,38,0.003951,0.064098,751,2.906400,931.440000,-34.598000,26.922000,0.838000
22,2.027773,-0.063100,0.840933,37,0.003545,0.109343,494,2.917800,1555.390000,-39.822000,39.059000,0.806300
23,2.383045,-0.055144,0.775101,36,0.002690,0.113745,898,3.058500,3094.170000,-40.907000,75.640000,0.609500
24,2.119541,-0.068152,0.843548,35,0.002414,0.121395,527,2.833200,1587.310000,-46.473000,34.155000,1.430700
25,1.999761,-0.058832,1.032941,39,0.003597,0.118137,947,2.875700,1477.580000,-42.443000,34.813000,1.295800
26,2.208298,-0.056687,0.973443,37,0.002697,0.060802,862,2.902800,795.710000,-30.110000,26.426000,0.823300
27,2.095483,-0.067863,0.830062,31,0.003795,0.065036,535,2.009100,346.740000,-37.274000,9.303000,1.188600
28,2.243728,-0.066742,0.818037,33,0.003666,0.123972,720,2.091900,575.810000,-52.594000,10.948000,1.519800
29,2.043315,-0.051251,0.827007,31,0.003426,0.062772,724,1.855300,245.520000,-34.053000,7.210000,1.117000
30,2.285475,-0.061460,0.818939,38,0.003517,0.107207,507,3.014100,2407.560000,-40.883000,58.889000,0.755000
31,2.034452,-0.067696,0.872346,33,0.002973,0.101726,982,2.353000,728.100000,-47.882000,15.206000,0.820400
32,2.106036,-0.067647,0.771712,36,0.003322,0.061625,513,3.026900,1205.880000,-28.754000,41.937000,0.809000
33,2.164410,-0.068392,0.925931,39,0.003730,0.087651,884,3.371300,2113.220000,-28.728000,73.559000,0.606200
34,1.987848,-0.052965,0.988946,38,0.002358,0.092215,781,3.375000,1889.460000,-29.850000,63.299000,0.676900
35,2.361805,-0.061856,0.876394,34,0.002822,0.100939,932,2.190700,733.050000,-51.520000,14.228000,0.871000
36,2.179715,-0.055461,0.828899,37,0.003760,0.061580,470,3.059800,1379.170000,-30.842000,44.717000,0.811000
37,2.241551,-0.053631,0.987659,33,0.002145,0.120310,527,2.041900,550.460000,-49.548000,11.110000,1.746500
38,2.105277,-0.053765,0.796182,30,0.001933,0.066574,463,2.131500,461.910000,-42.899000,10.767000,1.301200
39,2.240103,-0.063253,0.871280,33,0.003011,0.117000,922,2.228600,760.350000,-49.992000,15.209000,0.877900
40,1.999129,-0.054267,0.828921,32,0.003171,0.083971,460,2.079500,427.940000,-36.787000,11.633000,1.202900
41,2.144390,-0.060428,0.792451,38,0.001925,0.120589,489,2.854100,1632.910000,-46.911000,34.809000,1.422000
42,2.351173,-0.067248,1.029484,38,0.003671,0.100259,881,3.006600,2387.390000,-42.055000,56.768000,0.663900
43,2.039203,-0.060649,0.903840,39,0.002911,0.081726,800,3.314300,1599.540000,-26.355000,60.692000,0.644100
44,2.097244,-0.053516,0.894027,34,0.002358,0.080461,643,2.284000,518.450000,-29.670000,17.474000,0.764500
45,2.124098,-0.057830,0.950151,33,0.004077,0.119977,709,1.819100,344.340000,-49.535000,6.951000,1.666100
46,2.124479,-0.060638,0.994111,37,0.003731,0.092356,797,3.398200,2277.520000,-32.148000,70.844000,0.676900
47,2.106788,-0.064228,0.819649,37,0.003866,0.063511,786,2.880800,825.280000,-34.415000,23.980000,0.880300
48,2.021842,-0.064063,0.787813,39,0.002130,0.123039,893,2.930100,1698.500000,-42.895000,39.597000,1.187100
49,2.241220,-0.065087,0.979681,39,0.002408,0.096485,487,3.146000,2414.250000,-37.597000,64.215000,0.627700
50,2.251113,-0.054083,0.917537,36,0.002918,0.091629,872,3.513900,3329.500000,-28.252000,117.849000,0.559800
51,2.331668,-0.059859,0.926890,39,0.002087,0.062431,483,3.194700,1956.030000,-30.915000,63.270000,0.777300
52,2.269460,-0.058535,0.974067,37,0.002601,0.118682,871,2.949200,2078.000000,-46.924000,44.284000,1.300200
53,2.099035,-0.057555,0.849899,32,0.002155,0.121401,684,2.089400,536.050000,-48.506000,11.051000,1.520200
54,2.148661,-0.064134,0.914308,39,0.003673,0.088515,649,3.412400,2411.080000,-29.724000,81.117000,0.590700
55,2.414118,-0.063920,1.021823,31,0.003841,0.099869,502,2.001300,546.340000,-54.702000,9.988000,1.682100
